model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
LogisticRegression,0.5180600351164935,0.01609624090022705,0.7973244147157191,0.0373385571557267,0.6278509992468612,0.020917801039453995,0.8463177821942619,0.011431351901570365
XGBoost,0.5351868036740667,0.00904994056959612,0.7605351170568562,0.024722031588730906,0.6282187105554119,0.014464178310961593,0.8401803925528848,0.009709245330833038
PyTorch MLP,0.6400921761750276,0.023848741559953517,0.5351170568561873,0.026334474495022762,0.5824886634415302,0.020207930667217256,0.8356808794973251,0.010485740751717827
